bank_name,sort_code
Access Bank,44950954
Diamond Bank,63300983
Eco Bank,50151284
Fidelity Bank,70301153
First Bank,11303631
FCMB Bank,214090042
GT Bank,58306617
Keystone Bank,82300799
Stanbic IBTC,221159522
UBA Bank,33302995
Union Bank,32307483
Unity Bank,215302713
Zenith Bank,57300012
Cash,
Wema Bank,35150103
Enterprise Bank,84151726
Heritage Bank,30150014
Jaiz Bank,301080020
Standard Chartered,68120016
Sterling Bnk,232120017
Mainstreet,14301999
Micro-finance Bank,57300030
Bank of Agric',57300030
Saving & Loan,57300030
Polaris Bank,76302994
AVYI Community Bank,57300025
JEN Comm. Bank,57300030
Globus Bank,103
